Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
32928650,Essential Bukowski: Poetry,Charles Bukowski,"Bukowski, Charles",,,,0,4.23,Ecco,Kindle Edition,228,2016,2016,,12/25/2023,to-read,to-read (#40),to-read,,,,0,0
112975658,The Frozen River,Ariel Lawhon,"Lawhon, Ariel",,385546874,9.78039E+12,0,4.57,Doubleday,Hardcover,432,2023,2023,,12/25/2023,to-read,to-read (#39),to-read,,,,0,0
8032189,Popular Hits of the Showa Era,Ryū Murakami,"Murakami, Ryū",Ralph McCarthy,393338428,9.78039E+12,0,3.6,W. W. Norton & Company,Paperback,192,2011,1994,,12/23/2023,to-read,to-read (#38),to-read,,,,0,0
59142475,Cleopatra and Frankenstein,Coco Mellors,"Mellors, Coco",,1635576822,,5,3.78,Bloomsbury Publishing,Kindle Edition,378,2022,2022,12/23/2023,10/26/2023,,,read,,,,1,0
62039166,The Bee Sting,Paul Murray,"Murray, Paul",,374600309,9.78037E+12,0,4.07,"Farrar, Straus and Giroux",Hardcover,656,2023,2023,,12/17/2023,to-read,to-read (#36),to-read,,,,0,0
7146335,Skippy Dies,Paul Murray,"Murray, Paul",,241141826,9.78024E+12,0,3.74,Hamish Hamilton,Paperback,661,2010,2010,,12/17/2023,to-read,to-read (#37),to-read,,,,0,0
61190770,Chain-Gang All-Stars,Nana Kwame Adjei-Brenyah,"Adjei-Brenyah, Nana Kwame",,593317335,9.78059E+12,0,4.14,Pantheon,Hardcover,367,2023,2023,,12/17/2023,to-read,to-read (#35),to-read,,,,0,0
23453099,Eileen,Ottessa Moshfegh,"Moshfegh, Ottessa",,1594206627,9.78159E+12,0,3.59,Penguin Press,Hardcover,260,2015,2015,,12/17/2023,to-read,to-read (#34),to-read,,,,0,0
54203816,"The Empress of Salt and Fortune (The Singing Hills Cycle, #1)",Nghi Vo,"Vo, Nghi",,,,4,3.97,Tor.com,Kindle Edition,124,2020,2020,12/16/2023,12/15/2023,,,read,,,,1,0
13071600,The Honey Month,Amal El-Mohtar,"El-Mohtar, Amal",,,,4,4.2,Cheeky Frawg,Kindle Edition,80,2011,2010,10/25/2023,10/25/2023,currently-reading,currently-reading (#10),read,,,,2,0
61971342,Boulder,Eva Baltasar,"Baltasar, Eva",,1913505391,,3,3.85,And Other Stories,Kindle Edition,104,2022,2020,12/15/2023,12/15/2023,,,read,,,,1,0
20421955,Travel Light,Naomi Mitchison,"Mitchison, Naomi",,,,4,3.73,Small Beer Press,Kindle Edition,156,2005,1952,12/11/2023,10/22/2023,,,read,,,,1,0
20703425,On the Far Side of the Cadillac Desert with Dead Folks,Joe R. Lansdale,"Lansdale, Joe R.",Mark A. Nelson,,,0,3.96,Roadkill Press,Paperback,46,1991,1989,,12/11/2023,to-read,to-read (#33),to-read,,,,0,0
59237476,"Heaven's Prisoners (Dave Robicheaux, #2)",James Lee Burke,"Burke, James Lee",,,,3,4.1,,Kindle Edition,321,,1988,12/7/2023,12/7/2023,,,read,,,,1,0
13330761,The Dog Stars,Peter Heller,"Heller, Peter",,307959945,9.78031E+12,0,3.94,Knopf,Hardcover,336,2012,2012,,12/7/2023,to-read,to-read (#32),to-read,,,,0,0
58040512,Normal People,Sally Rooney,"Rooney, Sally",,,,5,3.81,Hogarth,Kindle Edition,279,2019,2018,11/30/2023,11/30/2023,,,read,,,,1,0
51031906,Convenience Store Woman,Sayaka Murata,"Murata, Sayaka",Ginny Tapley Takemori,,,3,3.7,Grove Press,Kindle Edition,176,2019,2016,11/26/2023,11/3/2023,,,read,,,,1,0
75319056,"System Collapse (The Murderbot Diaries, #7)",Martha Wells,"Wells, Martha",,,,4,4.27,Tordotcom,Kindle Edition,248,2023,2023,11/25/2023,11/25/2023,,,read,,,,1,0
1138948,Aniara,Harry Martinson,"Martinson, Harry","Stephen Klass, Leif Sjöberg",1885266634,9.78189E+12,0,3.88,Story Line Press,Paperback,157,1998,1956,,11/23/2023,to-read,to-read (#31),to-read,,,,0,0
34101725,God: A Human History,Reza Aslan,"Aslan, Reza",,553394738,,0,4.01,Random House,Kindle Edition,280,2017,2017,,11/23/2023,to-read,to-read (#30),to-read,,,,0,0
123250637,The Mantis,Kōtarō Isaka,"Isaka, Kōtarō",Sam Malissa,,9.79889E+12,5,3.94,The Overlook Press,Kindle Edition,256,2023,2017,11/16/2023,11/16/2023,,,read,,,,1,0
17665637,No Longer Human,Osamu Dazai,"Dazai, Osamu",Donald Keene,,,3,4.01,New Directions,Kindle Edition,177,2012,1948,11/7/2023,11/7/2023,,,read,,,,1,0
133518,The Things They Carried,Tim O'Brien,"O'Brien, Tim",,767902890,9.78077E+12,0,4.14,Broadway,Paperback,246,1998,1990,,11/3/2023,to-read,to-read (#29),to-read,,,,0,0
62334530,None of This Is True,Lisa Jewell,"Jewell, Lisa",,1982179007,9.78198E+12,0,4.18,Atria Books,Hardcover,384,2023,2023,,11/3/2023,to-read,to-read (#28),to-read,,,,0,0
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster,Jon Krakauer,"Krakauer, Jon",,,,0,4.23,Anchor Books,Paperback,368,1999,1997,,11/3/2023,to-read,to-read (#27),to-read,,,,0,0
9756484,Remote Control,Kōtarō Isaka,"Isaka, Kōtarō",Stephen    Snyder,4770031084,9.78477E+12,0,4.12,Kodansha USA,Hardcover,344,2011,2007,,11/3/2023,to-read,to-read (#26),to-read,,,,0,0
20170404,Station Eleven,Emily St. John Mandel,"Mandel, Emily St. John",,385353308,9.78039E+12,5,4.07,Knopf,Hardcover,333,2014,2014,11/1/2023,8/31/2023,,,read,,,,1,0
63024280,The Maid,Nita Prose,"Prose, Nita",,593356179,9.78059E+12,0,3.78,Random House Publishing Group,Paperback,336,2023,2022,,10/26/2023,to-read,to-read (#25),to-read,,,,0,0
57773248,Notes on an Execution,Danya Kukafka,"Kukafka, Danya",,63052733,9.78006E+12,0,4.1,William Morrow,Hardcover,306,2022,2022,,10/26/2023,to-read,to-read (#24),to-read,,,,0,0
57623348,"Home: Habitat, Range, Niche, Territory (The Murderbot Diaries, #4.5)",Martha Wells,"Wells, Martha",,125083886X,9.78125E+12,0,4.1,Tor Books,ebook,19,2021,2020,,10/25/2023,to-read,to-read (#23),to-read,,,,0,0
55710260,This Is How You Lose the Time War,Amal El-Mohtar,"El-Mohtar, Amal",Max Gladstone,,,5,3.93,Gallery / Saga Press,Kindle Edition,209,2019,2019,10/24/2023,8/31/2023,,,read,,,,1,0
45017916,The Ten Loves of Nishino,Hiromi Kawakami,"Kawakami, Hiromi",Allison Markin Powell,,,3,3.47,Europa Editions,Kindle Edition,172,2019,2003,10/19/2023,10/6/2023,,,read,,,,1,0
9505694,The Children of Men,P.D. James,"James, P.D.",,,,3,3.67,Vintage,Kindle Edition,292,2010,1992,10/12/2023,10/12/2023,,,read,,,,1,0
8470954,Less Than Zero (Vintage Contemporaries),Bret Easton Ellis,"Ellis, Bret Easton",,,,4,3.6,,Kindle Edition,204,,1985,10/2/2023,10/2/2023,,,read,,,,1,0
59748422,How to Be Eaten,Maria Adelmann,"Adelmann, Maria",,316450820,,5,3.62,"Little, Brown and Company",Kindle Edition,336,2022,2022,9/23/2023,9/13/2023,,,read,,,,1,0
53313009,Blood Meridian: Or the Evening Redness in the West,Cormac McCarthy,"McCarthy, Cormac",,,,4,4.16,Vintage,Kindle Edition,370,2010,1985,9/12/2023,7/29/2023,,,read,,,,1,0
9517201,Fear and Loathing in Las Vegas,Hunter S. Thompson,"Thompson, Hunter S.",Ralph Steadman,,,3,4.07,Vintage ,Kindle Edition,217,2010,1971,9/4/2023,9/4/2023,,,read,,,,1,0
70535,2001: A Space Odyssey,Arthur C. Clarke,"Clarke, Arthur C.",,,,0,4.17,Roc,Paperback,297,2000,1968,,8/31/2023,to-read,to-read (#22),to-read,,,,0,0
36402034,Do Androids Dream of Electric Sheep?,Philip K. Dick,"Dick, Philip K.",,,,0,4.09,Ballantine Books,Kindle Edition,258,2008,1968,,8/31/2023,to-read,to-read (#21),to-read,,,,0,0
36236124,Fight Club,Chuck Palahniuk,"Palahniuk, Chuck",,393355942,9.78039E+12,0,4.19,W. W. Norton & Company,Paperback,224,2018,1996,,8/21/2023,to-read,to-read (#20),to-read,,,,0,0
37551772,Fight No More: Stories,Lydia Millet,"Millet, Lydia",,,,5,3.91,W. W. Norton & Company,Kindle Edition,215,2018,2018,8/12/2023,8/12/2023,,,read,,,,1,0
1157019,My View of the World,Erwin Schrödinger,"Schrödinger, Erwin",,918024307,9.78092E+12,0,3.86,Ox Bow Pr,Paperback,118,1983,1951,,8/7/2023,to-read,to-read (#19),to-read,,,,0,0
59911022,The moon is down,John Steinbeck,"Steinbeck, John",,,,4,3.93,Tingle Books,Kindle Edition,111,2021,1942,7/29/2023,7/29/2023,,,read,,,,2,0
62039258,Sing Her Down,Ivy Pochoda,"Pochoda, Ivy",,374608482,9.78037E+12,0,3.39,MCD,Hardcover,288,2023,2023,,7/20/2023,to-read,to-read (#18),to-read,,,,0,0
8889452,Child of God (Vintage International),Cormac McCarthy,"McCarthy, Cormac",,,,0,3.84,,Kindle Edition,210,,1973,7/16/2023,7/10/2023,,,read,,,,1,0
37798194,There There,Tommy Orange,"Orange, Tommy",,,,5,3.98,Vintage,Kindle Edition,292,2018,2018,7/16/2023,7/3/2023,,,read,,,,1,0
2459785,"In the Woods (Dublin Murder Squad, #1)",Tana French,"French, Tana",,,,0,3.78,Penguin Books,Paperback,431,2008,2007,,7/5/2023,to-read,to-read (#17),to-read,,,,0,0
37570546,Maybe You Should Talk to Someone,Lori Gottlieb,"Gottlieb, Lori",,1328662055,9.78133E+12,0,4.38,Harper,Hardcover,415,2019,2019,,7/4/2023,to-read,to-read (#16),to-read,,,,0,0
62193738,All the Sinners Bleed,S.A. Cosby,"Cosby, S.A.",,,,5,4.29,Flatiron Books,Kindle Edition,352,2023,2023,7/3/2023,6/25/2023,,,read,,,,1,0
50144,Kitchen,Banana Yoshimoto,"Yoshimoto, Banana",Megan Backus,802142443,9.7808E+12,0,3.89,Grove Press,Paperback,160,2006,1988,7/1/2023,7/1/2023,,,read,,,,2,0
54860585,Razorblade Tears,S.A. Cosby,"Cosby, S.A.",,,,0,4.1,Flatiron Books,Hardcover,336,2021,2021,,6/25/2023,to-read,to-read (#15),to-read,,,,0,0
60581095,Stella Maris (The Passenger #2),Cormac McCarthy,"McCarthy, Cormac",,593535235,,5,3.89,Knopf,Kindle Edition,190,2022,2022,6/25/2023,6/18/2023,,,read,,,,1,0
43909397,No Longer Human (Junji Ito),Junji Ito,"Ito, Junji",Osamu Dazai,1974707091,9.78197E+12,0,4.27,VIZ Media,Hardcover,616,2019,2019,,6/23/2023,to-read,to-read (#14),to-read,,,,0,0
60581087,The Passenger (The Passenger #1),Cormac McCarthy,"McCarthy, Cormac",,593535227,,5,3.59,Knopf,Kindle Edition,385,2022,2022,6/17/2023,6/11/2023,,,read,,,,1,0
53413743,"Fugitive Telemetry (The Murderbot Diaries, #6)",Martha Wells,"Wells, Martha",,,,0,4.32,Tordotcom,Kindle Edition,172,2021,2021,6/11/2023,5/16/2023,,,read,,,,1,0
30319086,If We Were Villains,M.L. Rio,"Rio, M.L.",,125009528X,9.78125E+12,0,4.18,Flatiron Books,Hardcover,354,2017,2017,,6/8/2023,to-read,to-read (#13),to-read,,,,0,0
150698598,The Book Thief,Markus Zusak,"Zusak, Markus",,,,0,4.39,Black Swan,Paperback,0,2005,2005,,6/8/2023,to-read,to-read (#12),to-read,,,,0,0
8909,The War of the Worlds,H.G. Wells,"Wells, H.G.",Arthur C. Clarke,375759239,9.78038E+12,0,3.83,Modern Library,Paperback,192,2002,1897,,6/8/2023,to-read,to-read (#11),to-read,,,,0,0
29228558,Still Waters,Rebecca Addison,"Addison, Rebecca",,,,0,4,R Addison,Kindle Edition,307,2016,2015,,6/8/2023,to-read,to-read (#10),to-read,,,,0,0
50623864,The Invisible Life of Addie LaRue,V.E. Schwab,"Schwab, V.E.",,765387565,9.78077E+12,0,4.2,Tor Books,Hardcover,448,2020,2020,,6/8/2023,to-read,to-read (#9),to-read,,,,0,0
42946966,Drive Your Plow Over the Bones of the Dead,Olga Tokarczuk,"Tokarczuk, Olga",Antonia Lloyd-Jones,,,0,3.96,Riverhead Books,Kindle Edition,285,2019,2009,6/1/2023,10/25/2022,currently-reading,currently-reading (#9),currently-reading,,,,1,0
51812816,The Aosawa Murders,Riku Onda,"Onda, Riku",Alison Watts,,,0,3.61,Bitter Lemon Press,Kindle Edition,311,2020,2005,5/10/2023,5/22/2022,,,read,,,,1,0
13041910,The Killer Inside Me (Mulholland Classic),Jim Thompson,"Thompson, Jim",Stephen King,,,0,3.86,Mulholland Books,Kindle Edition,224,2011,1952,5/30/2023,5/24/2023,,,read,,,,1,0
17214,Starship Troopers,Robert A. Heinlein,"Heinlein, Robert A.",,,,0,4.01,Ace Books,Mass Market Paperback,264,1987,1959,,5/23/2023,to-read,to-read (#8),to-read,,,,0,0
52680842,"Network Effect (The Murderbot Diaries, #5)",Martha Wells,"Wells, Martha",,,,0,4.48,Tor.com,Kindle Edition,346,2020,2020,5/16/2023,5/16/2023,currently-reading,currently-reading (#8),currently-reading,,,,1,0
59001539,Three Assassins,Kōtarō Isaka,"Isaka, Kōtarō",Sam Malissa,1647007828,9.78165E+12,5,3.68,The Overlook Press,Kindle Edition,272,2022,2004,10/17/2022,10/13/2022,,,read,,,,2,0
190999,Way Station,Clifford D. Simak,"Simak, Clifford D.",,20248717,9.78002E+12,0,4.03,Collier Books,Paperback,210,1992,1963,,5/17/2023,to-read,to-read (#7),to-read,,,,0,0
48829708,"To Sleep in a Sea of Stars (Fractalverse, #1)",Christopher Paolini,"Paolini, Christopher",,1250762847,9.78125E+12,0,3.79,Tor Books,Hardcover,880,2020,2020,,5/17/2023,to-read,to-read (#6),to-read,,,,0,0
11501957,Zone One,Colson Whitehead,"Whitehead, Colson",,,,0,3.26,Anchor,Kindle Edition,338,2011,2011,5/15/2023,1/4/2023,,,read,,,,1,0
55132921,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,,,0,3.85,Vintage,Kindle Edition,272,2005,2005,5/9/2023,2/21/2023,,,read,,,,1,0
53520490,Negative Space,B.R. Yeager,"Yeager, B.R.",,,,0,3.76,Apocalypse Party,Kindle Edition,384,2020,2020,5/8/2023,4/23/2023,,,read,,,,1,0
57807199,The Kaiju Preservation Society,John Scalzi,"Scalzi, John",,,,0,4.01,Tor Books,Kindle Edition,268,2022,2022,2/17/2023,2/14/2023,,,read,,,,1,0
18281420,The Stench of Honolulu: A Tropical Adventure,Jack Handey,"Handey, Jack",,,,0,3.35,Grand Central Publishing,Kindle Edition,230,2013,2013,5/2/2023,4/28/2023,,,read,,,,1,0
20071806,Audition,Ryū Murakami,"Murakami, Ryū",Ralph McCarthy,,,0,3.51,W. W. Norton & Company,Kindle Edition,193,2010,1997,4/27/2023,4/22/2023,,,read,,,,1,0
35519109,"Exit Strategy (The Murderbot Diaries, #4)",Martha Wells,"Wells, Martha",,,,0,4.39,Tor.com,Kindle Edition,176,2018,2018,4/24/2023,4/18/2023,,,read,,,,1,0
6658129,Tokyo Vice: An American Reporter on the Police Beat in Japan,Jake Adelstein,"Adelstein, Jake",,307378799,9.78031E+12,0,3.91,Pantheon,Hardcover,335,2009,2009,,4/22/2023,to-read,to-read (#5),to-read,,,,0,0
54633172,The Promise,Damon Galgut,"Galgut, Damon",,1784744069,9.78178E+12,0,3.88,Chatto & Windus,Hardcover,293,2021,2021,,4/19/2023,to-read,to-read (#4),to-read,,,,0,0
11297277,Hard-Boiled Wonderland and the End of the World,Haruki Murakami,"Murakami, Haruki",,,,5,4.13,Vintage,Kindle Edition,416,2010,1985,4/18/2023,4/18/2023,,,read,,,,1,0
84713734,Silence: A Novel,Shūsaku Endō,"Endō, Shūsaku",,,,0,4.08,Lulu.com,Kindle Edition,238,2022,1966,,3/8/2023,currently-reading,currently-reading (#6),currently-reading,,,,1,0
57356972,Intimacies,Katie Kitamura,"Kitamura, Katie",,,,3,3.66,Riverhead Books,Kindle Edition,240,2021,2021,4/11/2023,3/29/2023,,,read,,,,1,0
36153880,"Rogue Protocol (The Murderbot Diaries, #3)",Martha Wells,"Wells, Martha",,,,0,4.27,Tordotcom,Kindle Edition,150,2018,2018,4/11/2023,4/1/2023,,,read,,,,1,0
50902716,A Children's Bible,Lydia Millet,"Millet, Lydia",,,,5,3.73,W. W. Norton & Company,Kindle Edition,225,2020,2020,3/29/2023,3/24/2023,,,read,,,,1,0
32934836,Fever Dream,Samanta Schweblin,"Schweblin, Samanta",Megan McDowell,,,3,3.73,Riverhead Books,Kindle Edition,192,2017,2014,3/24/2023,3/24/2023,,,read,,,,1,0
10327184,"Dance Dance Dance (The Rat Series, #4)",Haruki Murakami,"Murakami, Haruki",Alfred Birnbaum,,,0,4.05,Vintage,Kindle Edition,418,2010,1988,,3/23/2023,currently-reading,currently-reading (#7),currently-reading,,,,1,0
45754981,The Glass Hotel,Emily St. John Mandel,"Mandel, Emily St. John",,525521143,9.78053E+12,5,3.69,Alfred A. Knopf,Hardcover,307,2020,2020,4/1/2023,10/25/2022,,,read,,,,2,0
8437862,After the Quake,Haruki Murakami,"Murakami, Haruki",Jay Rubin,,,5,3.78,Vintage,Kindle Edition,162,2007,2000,3/17/2023,3/16/2023,,,read,,,,1,0
36223859,"Artificial Condition (The Murderbot Diaries, #2)",Martha Wells,"Wells, Martha",,,9.78125E+12,5,4.28,Tordotcom,Kindle Edition,149,2018,2018,3/16/2023,3/13/2023,,,read,,,,1,0
63153696,Dr. No,Percival Everett,"Everett, Percival",,,,5,3.7,Graywolf Press,Kindle Edition,257,2022,2022,3/12/2023,3/8/2023,,,read,,,,1,0
38472277,Severance,Ling  Ma,"Ma, Ling",,,,5,3.92,"Farrar, Straus and Giroux",Hardcover,293,2018,2018,3/8/2023,2/23/2023,,,read,,,,1,0
8264103,Piercing,Ryū Murakami,"Murakami, Ryū",,,,4,3.67,Penguin Books,Kindle Edition,196,,1994,2/21/2023,2/19/2023,,,read,,,,1,0
41814339,The Last,Hanna Jameson,"Jameson, Hanna",,,,0,3.53,Atria Books,Kindle Edition,353,2019,2019,,2/20/2023,currently-reading,currently-reading (#5),currently-reading,,,,1,0
33396171,"All Systems Red (The Murderbot Diaries, #1)",Martha Wells,"Wells, Martha",,,,5,4.16,Tordotcom,Kindle Edition,156,2017,2017,2/20/2023,2/17/2023,,,read,,,,1,0
32301946,Churchill and Orwell: The Fight for Freedom,Thomas E. Ricks,"Ricks, Thomas E.",,1594206139,9.78159E+12,0,4.06,Penguin Press,Hardcover,352,2017,2017,,2/19/2023,to-read,to-read (#3),to-read,,,,0,0
22522805,The Buried Giant,Kazuo Ishiguro,"Ishiguro, Kazuo",,030727103X,9.78031E+12,0,3.57,Alfred A. Knopf,Hardcover,317,2015,2015,,2/17/2023,to-read,to-read (#2),to-read,,,,0,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,059331817X,9.78059E+12,0,3.75,Alfred A. Knopf,Hardcover,303,2021,2021,,2/17/2023,to-read,to-read (#1),to-read,,,,0,0
6665847,"Daemon (Daemon, #1)",Daniel Suarez,"Suarez, Daniel",,451228731,9.78045E+12,4,4.16,Signet Books,Mass Market Paperback,632,2009,2006,,2/14/2023,,,read,,,,1,0
57753332,Bullet Train,Kōtarō Isaka,"Isaka, Kōtarō",Sam Malissa,1647003849,9.78165E+12,5,3.82,The Overlook Press,Kindle Edition,352,2021,2010,2/14/2023,2/14/2023,,,read,,,,1,0
8141568,Galápagos,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,,,0,3.87,The Dial Press,Kindle Edition,338,2009,1985,,1/23/2023,currently-reading,currently-reading (#4),currently-reading,,,,1,0
6588742,The Sirens of Titan,Kurt Vonnegut Jr.,"Jr., Kurt Vonnegut",,,,0,4.15,The Dial Press,Kindle Edition,338,2007,1959,,12/9/2022,currently-reading,currently-reading (#3),currently-reading,,,,1,0
53192116,Telephone,Percival Everett,"Everett, Percival",,,,4,3.97,Graywolf Press,Kindle Edition,233,2020,2004,11/11/2022,11/6/2022,,,read,,,,1,0
52301605,What's Left of Me Is Yours,Stephanie     Scott,"Scott, Stephanie",,,,3,3.76,Doubleday Books,Kindle Edition,336,2020,2020,11/6/2022,8/18/2022,,,read,,,,1,0
38213103,"The Fifth Season (The Broken Earth, #1)",N.K. Jemisin,"Jemisin, N.K.",,,,0,4.31,Hachette Book Group,Kindle Edition,355,2015,2015,,10/27/2022,currently-reading,currently-reading (#2),currently-reading,,,,1,0
58706017,Dinosaurs,Lydia Millet,"Millet, Lydia",,,,4,3.9,W.W. Norton,Kindle Edition,240,2022,2022,10/20/2022,10/20/2022,,,read,,,,1,0
9123100,"South of the Border, West of the Sun",Haruki Murakami,"Murakami, Haruki",,,,4,3.86,Vintage,Kindle Edition,224,2010,1992,10/20/2022,10/17/2022,,,read,,,,1,0
58186254,The Trees,Percival Everett,"Everett, Percival",,,,5,4.07,Graywolf Press,Kindle Edition,288,2021,2021,10/12/2022,10/10/2022,,,read,,,,1,0
60466860,All the Lovers in the Night,Mieko Kawakami,"Kawakami, Mieko","Sam Bett, David Boyd",,,4,3.75,Europa Editions,Kindle Edition,219,2022,2011,10/10/2022,6/26/2022,,,read,,,,1,0
45416596,The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Reid, Taylor Jenkins",,,,5,4.43,Washington Square Press,Kindle Edition,398,2017,2017,10/3/2022,8/31/2022,,,read,,,,1,0
56665713,"Beautiful World, Where Are You",Sally Rooney,"Rooney, Sally",,,,5,3.54,"Farrar, Straus and Giroux",Kindle Edition,358,2021,2021,5/21/2022,2/24/2022,,,read,,,,1,0
58601245,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,,,5,4.09,Knopf,Kindle Edition,226,2022,2022,4/21/2022,4/7/2022,,,read,,,,3,0
36147578,Wave,Sonali Deraniyagala,"Deraniyagala, Sonali",,,,5,3.78,Vintage,Kindle Edition,274,2013,2013,3/24/2022,2/24/2022,,,read,,,,1,0
57016623,The Woman in the Purple Skirt,Natsuko Imamura,"Imamura, Natsuko",Lucy North,,,3,3.28,Penguin Books,Kindle Edition,222,2021,2019,12/14/2021,12/1/2021,,,read,,,,1,0
9123099,Norwegian Wood (Vintage International),Haruki Murakami,"Murakami, Haruki",Jay Rubin,,,4,4.02,Vintage,Kindle Edition,384,2010,1987,11/3/2021,10/13/2021,,,read,,,,1,0
54906250,Project Hail Mary,Andy Weir,"Weir, Andy",,,,0,4.51,Ballantine Books,Kindle Edition,481,2021,2021,,11/2/2021,currently-reading,currently-reading (#1),currently-reading,,,,1,0
53583567,Heaven,Mieko Kawakami,"Kawakami, Mieko",,,,4,3.81,Europa Editions,Kindle Edition,161,2021,2009,10/13/2021,10/8/2021,,,read,,,,1,0
